Company,Model,Variant,Ex-Showroom_Price,Energy_source(cc/kwh),Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Type,Seating_Capacity,Seats_Material,Cylinders,Cylinder_Configuration,Engine_Location,Height,Length,Width,Body_Type,Power_Value,Power_Unit,Power_RPM,Torque_Value,Torque_Unit,Torque_RPM_Min
Volkswagen,Vento,Highline 1.5 (D),1210500,1498,FWD (Front Wheel Drive),55.0,Diesel,Manual,5,Leather,4,In-line,"Front, Longitudinal",1467,4390,1699,Sedan,105,PS,4400.0,250.0,NM,1500.0
Volkswagen,Vento,Highline 1.5 (D) Dsg,1336500,1498,FWD (Front Wheel Drive),55.0,Diesel,Automatic,5,Leather,4,In-line,"Front, Transverse",1467,4390,1699,Sedan,105,PS,4400.0,250.0,NM,1500.0
Volkswagen,Vento,Highline Plus 1.5 (D) Dsg,1317500,1498,FWD (Front Wheel Drive),55.0,Diesel,Automatic,5,Leather,4,In-line,"Front, Transverse",1467,4390,1699,Sedan,105,PS,4400.0,250.0,NM,1500.0
Volkswagen,Vento,Gt Line (D),1449500,1498,FWD (Front Wheel Drive),45.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Transverse",1469,3971,1682,Hatchback,110,PS,4400.0,250.0,NM,1500.0
Volkswagen,Vento,Gt Line (P) Dsg,1317500,1197,FWD (Front Wheel Drive),45.0,Petrol,Automatic,5,Fabric,4,In-line,"Front, Transverse",1469,3971,1682,Hatchback,105,PS,5000.0,175.0,NM,1500.0
Mahindra,E2O Plus,P4,881425,11,RWD (Rear Wheel Drive),0.0,Electric,Automatic,4,Vinyl,0,No Config,No Engine,1585,3390,1575,Hatchback,25,NA,,70.0,NM,1000.0
Mahindra,E2O Plus,P6,957177,11,RWD (Rear Wheel Drive),0.0,Electric,Automatic,4,Fabric,0,No Config,No Engine,1585,3390,1575,Hatchback,25,NA,,70.0,NM,1000.0
Tata,Tigor Ev,Xm+,960868,26,FWD (Front Wheel Drive),0.0,Electric,Automatic,5,Fabric,0,No Config,No Engine,1537,3992,1677,Sedan,41,NA,,105.0,NM,2500.0
Tata,Tigor Ev,Xt+,975868,26,FWD (Front Wheel Drive),0.0,Electric,Automatic,5,Fabric,0,No Config,No Engine,1537,3992,1677,Sedan,41,NA,,105.0,NM,2500.0
Tata,Tigor Ev,Xe+,944175,26,FWD (Front Wheel Drive),0.0,Electric,Automatic,5,Fabric,0,No Config,No Engine,1537,3992,1677,Sedan,41,NA,,105.0,NM,2500.0
Honda,Brv,E Petrol,952900,1497,FWD (Front Wheel Drive),42.0,Petrol,Manual,7,Fabric,4,In-line,"Front, Transverse",1666,4453,1735,SUV,119,PS,6600.0,145.0,NM,4600.0
Honda,Brv,S Petrol,1052900,1497,FWD (Front Wheel Drive),42.0,Petrol,Manual,7,Fabric,4,In-line,"Front, Transverse",1666,4453,1735,SUV,119,PS,6600.0,145.0,NM,4600.0
Honda,Brv,V Petrol,1167900,1497,FWD (Front Wheel Drive),42.0,Petrol,Manual,7,Leather,4,In-line,"Front, Transverse",1666,4453,1735,SUV,119,PS,6600.0,145.0,NM,4600.0
Honda,Brv,Vx Petrol,1271900,1497,FWD (Front Wheel Drive),42.0,Petrol,Manual,7,Leather,4,In-line,"Front, Transverse",1666,4456,1735,SUV,119,PS,6600.0,145.0,NM,4600.0
Honda,Brv,V Cvt Petrol,1285900,1497,FWD (Front Wheel Drive),42.0,Petrol,Automatic,7,Leather,4,In-line,"Front, Transverse",1666,4456,1735,SUV,119,PS,6600.0,145.0,NM,4600.0
Honda,Brv,S Diesel,1187900,1498,FWD (Front Wheel Drive),42.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Transverse",1666,4453,1735,SUV,100,PS,3600.0,200.0,NM,1750.0
Honda,Brv,V Diesel,1273900,1498,FWD (Front Wheel Drive),42.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1666,4453,1735,SUV,100,PS,3600.0,200.0,NM,1750.0
Honda,Brv,Vx Diesel,1382900,1498,FWD (Front Wheel Drive),42.0,Diesel,Manual,7,Leather,4,In-line,"Front, Transverse",1666,4456,1735,SUV,100,PS,3600.0,200.0,NM,1750.0
Mahindra,Thar,Crde,959860,2498,4WD,60.0,Diesel,Manual,6,Fabric,4,In-line,"Front, Transverse",1930,3920,1726,SUV,105,BHP,3800.0,247.0,NM,1800.0
Mahindra,Thar,700 Special Edition,999148,2498,4WD,60.0,Diesel,Manual,6,Leather,4,In-line,"Front, Transverse",1930,3920,1726,SUV,105,PS,3800.0,247.0,NM,1800.0
Mahindra,Thar,Crde Abs,974860,2498,4WD,60.0,Diesel,Manual,6,Fabric,4,In-line,"Front, Transverse",1930,3920,1726,SUV,105,BHP,3800.0,247.0,NM,1800.0
Force,Gurkha,Xpedition 5 Door,999000,2596,RWD (Rear Wheel Drive),63.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",2055,4342,1790,SUV,85,PS,3200.0,230.0,NM,1400.0
Force,Gurkha,Xplorer 3 Door,1075000,2596,4WD,63.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Longitudinal",2055,3992,1790,SUV,85,PS,3200.0,230.0,NM,1400.0
Force,Gurkha,Xtreme,1299000,2149,AWD (All Wheel Drive),63.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Longitudinal",2075,3992,1820,SUV,140,BHP,3800.0,321.0,NM,1600.0
Force,Gurkha,Xtreme Abs,1330000,2149,AWD (All Wheel Drive),63.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Longitudinal",2075,3992,1820,SUV,140,BHP,3800.0,321.0,NM,1600.0
Force,Gurkha,Xpedition 3 Door,975000,2596,RWD (Rear Wheel Drive),63.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",2055,4342,1790,SUV,85,PS,3200.0,230.0,NM,1400.0
Force,Gurkha,Xplorer 5 Door,1225000,2596,4WD,63.0,Diesel,Manual,5,Fabric,4,In-line,"Front, Longitudinal",2055,3992,1790,SUV,85,PS,3200.0,230.0,NM,1400.0
